0SENTENCE,1TRANSLATION,2TAGS,3LEARNED,4ATTEMPTS,5SUCCESFUL ATTEMPS,6DAY LAST ATTEMPT,7LAST ATTEMPT RESULT,8DAY TO REVIEW,9ATTEMPT STREAK,10ID,DECK11,LEVEL12,IGNORE13,LANGUAGE14
быть,to be,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,1,Russian Verbs,Level1,no,ru
сказать,to say; to tell; to speak,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,2,Russian Verbs,Level1,no,ru
мочь,to be able,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,3,Russian Verbs,Level1,no,ru
говорить,to say; to tell; to speak,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,4,Russian Verbs,Level1,no,ru
знать,to know,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,5,Russian Verbs,Level1,no,ru
стать,to become; to begin; to stand,perfective,yes,7,5,24/2/2018,success,1/4/2018,4,6,Russian Verbs,Level1,no,ru
есть,to eat,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,7,Russian Verbs,Level1,no,ru
хотеть,to want,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,8,Russian Verbs,Level1,no,ru
видеть,to see,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,9,Russian Verbs,Level1,no,ru
идти,to go (on foot),imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,10,Russian Verbs,Level1,no,ru
стоять,to stand,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,11,Russian Verbs,Level1,no,ru
думать,to think; to believe,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,12,Russian Verbs,Level1,no,ru
спросить,to ask; to inquire,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,13,Russian Verbs,Level1,no,ru
жить,to live,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,14,Russian Verbs,Level1,no,ru
смотреть,to look; to watch,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,15,Russian Verbs,Level1,no,ru
сидеть,to sit; to stay,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,16,Russian Verbs,Level1,no,ru
понять,to understand; to realize,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,17,Russian Verbs,Level1,no,ru
иметь,to own; to have,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,18,Russian Verbs,Level1,no,ru
делать,to do; to make,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,19,Russian Verbs,Level1,no,ru
